datetime,temp,humidity,precip,precipprob,preciptype,windspeed,conditions,icon
2024-07-06T00:00:00,10.3,80.41,0.018,98.0,rain,4.9,"Rain, Overcast",rain
2024-07-06T00:01:00,10.2,80.63,0.017,102.0,rain,4.7,"Rain, Overcast",rain
2024-07-06T00:02:00,10.3,81.37,0.018,92.0,rain,4.7,"Rain, Overcast",rain
2024-07-06T00:03:00,10.2,81.18,0.019,101.0,rain,4.9,"Rain, Overcast",rain
2024-07-06T00:04:00,10.4,81.42,0.016,92.0,rain,4.8,"Rain, Overcast",rain
2024-07-06T00:05:00,10.2,80.71,0.016,109.0,rain,4.7,"Rain, Overcast",rain
2024-07-06T00:06:00,10.3,80.63,0.019,101.0,rain,4.6,"Rain, Overcast",rain
2024-07-06T00:07:00,10.3,81.19,0.016,109.0,rain,4.6,"Rain, Overcast",rain
2024-07-06T00:08:00,10.3,81.13,0.016,101.0,rain,5.0,"Rain, Overcast",rain
2024-07-06T00:09:00,10.2,81.46,0.017,91.0,rain,4.8,"Rain, Overcast",rain
2024-07-06T00:10:00,10.2,81.35,0.019,109.0,rain,4.6,"Rain, Overcast",rain
2024-07-06T00:11:00,10.3,81.41,0.017,99.0,rain,4.8,"Rain, Overcast",rain
2024-07-06T00:12:00,10.3,81.42,0.019,96.0,rain,4.8,"Rain, Overcast",rain
2024-07-06T00:13:00,10.3,80.74,0.017,96.0,rain,4.9,"Rain, Overcast",rain
2024-07-06T00:14:00,10.2,81.74,0.019,92.0,rain,4.7,"Rain, Overcast",rain
2024-07-06T00:15:00,10.2,81.57,0.017,107.0,rain,4.7,"Rain, Overcast",rain
2024-07-06T00:16:00,10.2,81.28,0.019,99.0,rain,4.7,"Rain, Overcast",rain
2024-07-06T00:17:00,10.2,80.7,0.016,103.0,rain,4.8,"Rain, Overcast",rain
2024-07-06T00:18:00,10.2,81.41,0.016,109.0,rain,4.8,"Rain, Overcast",rain
2024-07-06T00:19:00,10.2,81.69,0.017,99.0,rain,4.6,"Rain, Overcast",rain
2024-07-06T00:20:00,10.3,81.62,0.018,94.0,rain,4.8,"Rain, Overcast",rain
2024-07-06T00:21:00,10.2,80.8,0.019,91.0,rain,5.1,"Rain, Overcast",rain
2024-07-06T00:22:00,10.4,82.04,0.017,98.0,rain,5.0,"Rain, Overcast",rain
2024-07-06T00:23:00,10.1,81.76,0.017,110.0,rain,5.0,"Rain, Overcast",rain
2024-07-06T00:24:00,10.2,80.71,0.018,91.0,rain,5.1,"Rain, Overcast",rain
2024-07-06T00:25:00,10.2,81.57,0.016,104.0,rain,5.0,"Rain, Overcast",rain
2024-07-06T00:26:00,10.1,81.68,0.017,100.0,rain,4.9,"Rain, Overcast",rain
2024-07-06T00:27:00,10.3,81.46,0.016,105.0,rain,4.9,"Rain, Overcast",rain
2024-07-06T00:28:00,10.1,82.22,0.017,108.0,rain,4.6,"Rain, Overcast",rain
2024-07-06T00:29:00,10.3,81.06,0.019,90.0,rain,5.0,"Rain, Overcast",rain
2024-07-06T00:30:00,10.2,81.79,0.016,95.0,rain,4.6,"Rain, Overcast",rain
2024-07-06T00:31:00,10.2,81.06,0.019,92.0,rain,4.8,"Rain, Overcast",rain
2024-07-06T00:32:00,10.1,80.88,0.018,99.0,rain,4.9,"Rain, Overcast",rain
2024-07-06T00:33:00,10.0,82.11,0.017,93.0,rain,5.0,"Rain, Overcast",rain
2024-07-06T00:34:00,10.2,81.99,0.016,106.0,rain,5.0,"Rain, Overcast",rain
2024-07-06T00:35:00,10.2,81.44,0.019,108.0,rain,5.2,"Rain, Overcast",rain
2024-07-06T00:36:00,10.1,81.46,0.018,106.0,rain,5.1,"Rain, Overcast",rain
2024-07-06T00:37:00,10.1,81.82,0.017,95.0,rain,5.1,"Rain, Overcast",rain
2024-07-06T00:38:00,10.0,81.46,0.018,110.0,rain,5.1,"Rain, Overcast",rain
2024-07-06T00:39:00,10.2,81.25,0.016,99.0,rain,4.8,"Rain, Overcast",rain
2024-07-06T00:40:00,10.2,81.68,0.017,90.0,rain,4.9,"Rain, Overcast",rain
2024-07-06T00:41:00,10.2,81.96,0.016,97.0,rain,5.0,"Rain, Overcast",rain
2024-07-06T00:42:00,10.2,81.76,0.017,93.0,rain,4.8,"Rain, Overcast",rain
2024-07-06T00:43:00,10.2,82.02,0.017,96.0,rain,4.9,"Rain, Overcast",rain
2024-07-06T00:44:00,10.1,81.79,0.018,106.0,rain,4.8,"Rain, Overcast",rain
2024-07-06T00:45:00,10.0,81.71,0.019,94.0,rain,4.9,"Rain, Overcast",rain
2024-07-06T00:46:00,10.0,81.29,0.017,94.0,rain,5.0,"Rain, Overcast",rain
2024-07-06T00:47:00,10.2,81.4,0.018,99.0,rain,4.7,"Rain, Overcast",rain
2024-07-06T00:48:00,10.1,81.48,0.018,103.0,rain,4.9,"Rain, Overcast",rain
2024-07-06T00:49:00,10.2,82.47,0.018,101.0,rain,5.0,"Rain, Overcast",rain
2024-07-06T00:50:00,10.2,81.56,0.018,103.0,rain,4.9,"Rain, Overcast",rain
2024-07-06T00:51:00,10.0,81.34,0.016,104.0,rain,4.9,"Rain, Overcast",rain
2024-07-06T00:52:00,10.1,81.64,0.018,102.0,rain,4.9,"Rain, Overcast",rain
2024-07-06T00:53:00,10.2,82.05,0.019,109.0,rain,4.7,"Rain, Overcast",rain
2024-07-06T00:54:00,10.1,81.89,0.017,97.0,rain,4.8,"Rain, Overcast",rain
2024-07-06T00:55:00,10.1,81.34,0.016,101.0,rain,4.8,"Rain, Overcast",rain
2024-07-06T00:56:00,10.0,81.32,0.016,105.0,rain,4.7,"Rain, Overcast",rain
2024-07-06T00:57:00,10.1,82.14,0.018,97.0,rain,4.7,"Rain, Overcast",rain
2024-07-06T00:58:00,10.2,82.17,0.016,93.0,rain,5.1,"Rain, Overcast",rain
2024-07-06T00:59:00,10.1,81.6,0.018,92.0,rain,5.0,"Rain, Overcast",rain
2024-07-06T01:00:00,9.7,83.55,0.021,104.0,rain,5.3,"Rain, Overcast",rain
2024-07-06T01:01:00,9.5,84.3,0.019,110.0,rain,5.6,"Rain, Overcast",rain
2024-07-06T01:02:00,9.6,84.17,0.02,92.0,rain,5.4,"Rain, Overcast",rain
2024-07-06T01:03:00,9.7,84.89,0.02,106.0,rain,5.4,"Rain, Overcast",rain
2024-07-06T01:04:00,9.6,84.38,0.019,108.0,rain,5.3,"Rain, Overcast",rain
2024-07-06T01:05:00,9.5,84.44,0.017,106.0,rain,5.2,"Rain, Overcast",rain
2024-07-06T01:06:00,9.6,84.52,0.017,100.0,rain,5.2,"Rain, Overcast",rain
2024-07-06T01:07:00,9.6,84.56,0.018,96.0,rain,5.4,"Rain, Overcast",rain
2024-07-06T01:08:00,9.6,84.38,0.019,95.0,rain,5.4,"Rain, Overcast",rain
2024-07-06T01:09:00,9.5,83.88,0.017,104.0,rain,5.4,"Rain, Overcast",rain
2024-07-06T01:10:00,9.7,83.89,0.016,101.0,rain,5.1,"Rain, Overcast",rain
2024-07-06T01:11:00,9.6,84.56,0.018,101.0,rain,5.2,"Rain, Overcast",rain
2024-07-06T01:12:00,9.6,83.74,0.019,91.0,rain,5.5,"Rain, Overcast",rain
2024-07-06T01:13:00,9.5,83.96,0.017,102.0,rain,5.3,"Rain, Overcast",rain
2024-07-06T01:14:00,9.6,84.42,0.019,102.0,rain,5.3,"Rain, Overcast",rain
2024-07-06T01:15:00,9.6,84.87,0.016,92.0,rain,5.2,"Rain, Overcast",rain
2024-07-06T01:16:00,9.5,84.44,0.018,104.0,rain,5.2,"Rain, Overcast",rain
2024-07-06T01:17:00,9.7,84.68,0.018,108.0,rain,5.5,"Rain, Overcast",rain
2024-07-06T01:18:00,9.6,83.89,0.016,104.0,rain,5.4,"Light Rain, Overcast",rain
2024-07-06T01:19:00,9.6,84.44,0.017,95.0,rain,4.9,"Light Rain, Overcast",rain
2024-07-06T01:20:00,9.5,84.94,0.017,91.0,rain,5.6,"Light Rain, Overcast",rain
2024-07-06T01:21:00,9.6,84.87,0.017,92.0,rain,5.1,"Light Rain, Overcast",rain
2024-07-06T01:22:00,9.5,84.87,0.017,106.0,rain,5.2,"Light Rain, Overcast",rain
2024-07-06T01:23:00,9.5,84.13,0.017,103.0,rain,5.5,"Light Rain, Overcast",rain
2024-07-06T01:24:00,9.5,83.98,0.017,101.0,rain,5.4,"Light Rain, Overcast",rain
2024-07-06T01:25:00,9.6,84.56,0.015,101.0,rain,5.5,"Light Rain, Overcast",rain
2024-07-06T01:26:00,9.5,85.36,0.018,104.0,rain,5.1,"Light Rain, Overcast",rain
2024-07-06T01:27:00,9.5,85.19,0.016,100.0,rain,5.1,"Light Rain, Overcast",rain
2024-07-06T01:28:00,9.6,84.35,0.017,96.0,rain,5.3,"Light Rain, Overcast",rain
2024-07-06T01:29:00,9.5,85.18,0.016,101.0,rain,5.0,"Light Rain, Overcast",rain
2024-07-06T01:30:00,9.5,84.19,0.017,105.0,rain,5.2,"Light Rain, Overcast",rain
2024-07-06T01:31:00,9.6,84.45,0.016,100.0,rain,5.4,"Light Rain, Overcast",rain
2024-07-06T01:32:00,9.6,85.0,0.017,103.0,rain,5.2,"Light Rain, Overcast",rain
2024-07-06T01:33:00,9.4,85.09,0.017,107.0,rain,5.3,"Light Rain, Overcast",rain
2024-07-06T01:34:00,9.5,84.97,0.015,108.0,rain,5.3,"Light Rain, Overcast",rain
2024-07-06T01:35:00,9.6,84.25,0.016,108.0,rain,5.3,"Light Rain, Overcast",rain
2024-07-06T01:36:00,9.4,84.21,0.016,93.0,rain,5.0,"Light Rain, Overcast",rain
2024-07-06T01:37:00,9.4,84.59,0.015,95.0,rain,5.3,"Light Rain, Overcast",rain
2024-07-06T01:38:00,9.4,85.2,0.015,103.0,rain,4.9,"Light Rain, Overcast",rain
2024-07-06T01:39:00,9.4,84.89,0.015,101.0,rain,5.1,"Light Rain, Overcast",rain
2024-07-06T01:40:00,9.6,85.31,0.016,91.0,rain,5.0,"Light Rain, Overcast",rain
2024-07-06T01:41:00,9.5,85.02,0.015,102.0,rain,5.3,"Light Rain, Overcast",rain
2024-07-06T01:42:00,9.5,84.98,0.015,0.0,,5.3,Overcast,cloudy
2024-07-06T01:43:00,9.5,84.7,0.014,0.0,,5.0,Overcast,cloudy
2024-07-06T01:44:00,9.5,84.86,0.016,0.0,,5.2,Overcast,cloudy
2024-07-06T01:45:00,9.5,84.2,0.016,0.0,,5.2,Overcast,cloudy
2024-07-06T01:46:00,9.5,85.4,0.013,0.0,,5.1,Overcast,cloudy
2024-07-06T01:47:00,9.5,84.9,0.013,0.0,,5.3,Overcast,cloudy
2024-07-06T01:48:00,9.4,84.92,0.016,0.0,,4.8,Overcast,cloudy
2024-07-06T01:49:00,9.4,84.37,0.014,0.0,,5.0,Overcast,cloudy
